apn,NAME1,NAMELSAD1,NAME2,NAMELSAD2
"011339511","18.03",Census Tract 18.03,,
"011339529","18.03",Census Tract 18.03,,
"011339538","18.03",Census Tract 18.03,,
"011339539","18.03",Census Tract 18.03,,
"011339540","18.03",Census Tract 18.03,,
"011339541","18.03",Census Tract 18.03,,
"011339544","18.03",Census Tract 18.03,,
"011339545","18.03",Census Tract 18.03,,
"011339546","18.03",Census Tract 18.03,,
"011339551","18.03",Census Tract 18.03,,
"011339552","18.03",Census Tract 18.03,,
"011339553","18.03",Census Tract 18.03,,
"011339604","18.03",Census Tract 18.03,,
"011339606","18.03",Census Tract 18.03,,
"011339607","18.03",Census Tract 18.03,,
"011339609","18.03",Census Tract 18.03,,
"011339610","18.03",Census Tract 18.03,,
"011339612","18.03",Census Tract 18.03,,
"011340105","18.03",Census Tract 18.03,,
"011340106","18.03",Census Tract 18.03,,
"011340202","18.03",Census Tract 18.03,,
"011340213","18.03",Census Tract 18.03,,
"011340215","18.03",Census Tract 18.03,,
"011340216","18.03",Census Tract 18.03,,
"011341420","18.03",Census Tract 18.03,,
"011341425","18.03",Census Tract 18.03,,
"011341438","18.03",Census Tract 18.03,,
"011341440","18.03",Census Tract 18.03,,
"011341441","18.03",Census Tract 18.03,,
"011341445","18.03",Census Tract 18.03,,
"011341572","18.03",Census Tract 18.03,,
"011341573","18.03",Census Tract 18.03,,
"011341574","18.03",Census Tract 18.03,,
"011342105","18.03",Census Tract 18.03,,
"011342106","18.03",Census Tract 18.03,,
"011342107","18.03",Census Tract 18.03,,
"011342214","18.03",Census Tract 18.03,,
"011343107","18.03",Census Tract 18.03,,
"011343108","18.03",Census Tract 18.03,,
"011343109","18.03",Census Tract 18.03,,
"011344109","18.03",Census Tract 18.03,,
"011344110","18.03",Census Tract 18.03,,
"011344111","18.03",Census Tract 18.03,,
"011344112","18.03",Census Tract 18.03,,
"011344216","18.03",Census Tract 18.03,,
"011344217","18.03",Census Tract 18.03,,
"011344218","18.03",Census Tract 18.03,,
"011344219","18.03",Census Tract 18.03,,
"011345119","18.03",Census Tract 18.03,,
"011345129","18.03",Census Tract 18.03,,
"011345132","18.03",Census Tract 18.03,,
"011345133","18.03",Census Tract 18.03,,
"011345134","18.03",Census Tract 18.03,,
"011345135","18.03",Census Tract 18.03,,
"011345136","18.03",Census Tract 18.03,,
"011345137","18.03",Census Tract 18.03,,
"011346221","18.03",Census Tract 18.03,,
"011346224","18.03",Census Tract 18.03,,
"011346226","18.03",Census Tract 18.03,,
"011346227","18.03",Census Tract 18.03,,
"011349118","18.03",Census Tract 18.03,,
"011349130","18.03",Census Tract 18.03,,
"011349139","18.03",Census Tract 18.03,,
"011349171","18.03",Census Tract 18.03,,
"011349182","18.03",Census Tract 18.03,,
"011358113","18.03",Census Tract 18.03,,
"011364101","18.03",Census Tract 18.03,,
"011364103","18.03",Census Tract 18.03,,
"011364104","18.03",Census Tract 18.03,,
"011364105","18.03",Census Tract 18.03,,
"011364106","18.03",Census Tract 18.03,,
"011364107","18.03",Census Tract 18.03,,
"011364108","18.03",Census Tract 18.03,,
"011364109","18.03",Census Tract 18.03,,
"011364114","18.03",Census Tract 18.03,,
"012806148","35.10",Census Tract 35.10,,
"012806231","35.10",Census Tract 35.10,,
"012806327","35.10",Census Tract 35.10,,
"012806329","35.10",Census Tract 35.10,,
"012806330","35.10",Census Tract 35.10,,
"012806331","35.10",Census Tract 35.10,,
"012813107","35.10",Census Tract 35.10,,
"012815111","35.10",Census Tract 35.10,,
"012815116","35.10",Census Tract 35.10,,
"012815138","35.10",Census Tract 35.10,,
"012815139","35.10",Census Tract 35.10,,
"012815141","35.10",Census Tract 35.10,,
"012815142","35.10",Census Tract 35.10,,
"012815149","35.10",Census Tract 35.10,,
"012815150","35.10",Census Tract 35.10,,
"012815152","35.10",Census Tract 35.10,,
"012825104","36.06",Census Tract 36.06,,
"013021120","35.09",Census Tract 35.09,,
"013021140","35.09",Census Tract 35.09,,
"013022226","37",Census Tract 37,,
"013101110","35.09",Census Tract 35.09,,
"013101111","35.09",Census Tract 35.09,,
"013101117","35.09",Census Tract 35.09,,
"013101118","35.09",Census Tract 35.09,,
"013101136","35.09",Census Tract 35.09,,
"013101137","35.09",Census Tract 35.09,,
"013101138","35.09",Census Tract 35.09,,
"013101218","35.09",Census Tract 35.09,,
"013213228","36.12",Census Tract 36.12,,
"013218208","36.09",Census Tract 36.09,,
"013219115","36.09",Census Tract 36.09,,
"013220104","36.09",Census Tract 36.09,"36.09",Census Tract 36.09
"013601146","57.01",Census Tract 57.01,,
"013601165","57.01",Census Tract 57.01,,
"013610134","57.01",Census Tract 57.01,,
"013612243","57.01",Census Tract 57.01,,
"013612290","57.01",Census Tract 57.01,,
"013613245","57.01",Census Tract 57.01,,
"013614118","49.01",Census Tract 49.01,,
"013617135","57.01",Census Tract 57.01,,
"013618247","57.01",Census Tract 57.01,,
"013627147","57.01",Census Tract 57.01,,
"013628232","124",Census Tract 124,,
"013632104","124",Census Tract 124,,
"013632114","124",Census Tract 124,,
"013632155","124",Census Tract 124,,
"013632156","124",Census Tract 124,,
"013633117","65.01",Census Tract 65.01,,
"013634165","9801",Census Tract 9801,,
"013634172","9801",Census Tract 9801,,
"013634184","9801",Census Tract 9801,"65.01",Census Tract 65.01
"013634185","9801",Census Tract 9801,,
"013634186","9801",Census Tract 9801,"65.01",Census Tract 65.01
"013634187","65.01",Census Tract 65.01,,
"013634188","9801",Census Tract 9801,"65.01",Census Tract 65.01
"013635101","72.02",Census Tract 72.02,,
"013635112","72.02",Census Tract 72.02,,
"013635116","72.02",Census Tract 72.02,,
"013636136","78",Census Tract 78,"9801",Census Tract 9801
"013636139","9801",Census Tract 9801,,
"013636140","9801",Census Tract 9801,,
"013637139","78",Census Tract 78,"9801",Census Tract 9801
"013637144","9801",Census Tract 9801,,
"013638119","9801",Census Tract 9801,,
"013639110","65.01",Census Tract 65.01,,
"013639122","65.01",Census Tract 65.01,,
"013639144","65.01",Census Tract 65.01,"65.01",Census Tract 65.01
"013639304","72.02",Census Tract 72.02,,
"013639305","72.02",Census Tract 72.02,,
"013640111","124",Census Tract 124,,
"013640151","124",Census Tract 124,,
"013640161","124",Census Tract 124,,
"013640163","124",Census Tract 124,,
"013640167","124",Census Tract 124,,
"013640180","124",Census Tract 124,,
"013642221","124",Census Tract 124,,
"013645118","124",Census Tract 124,"124",Census Tract 124
"013645230","124",Census Tract 124,"124",Census Tract 124
"013646120","124",Census Tract 124,,
"013646218","124",Census Tract 124,,
"013647214","124",Census Tract 124,,
"013719107","49.01",Census Tract 49.01,,
"013821103","49.02",Census Tract 49.02,,
"013824126","49.02",Census Tract 49.02,"49.02",Census Tract 49.02
"013831139","49.01",Census Tract 49.01,,
"013908142","47",Census Tract 47,,
"014101108","124",Census Tract 124,,
"014102102","124",Census Tract 124,,
"014107109","124",Census Tract 124,,
"014107157","124",Census Tract 124,,
"014107183","124",Census Tract 124,,
"014107184","124",Census Tract 124,,
"014120106","124",Census Tract 124,,
"014128125","124",Census Tract 124,,
"014128208","124",Census Tract 124,,
"014129125","124",Census Tract 124,,
"014132135","71.10",Census Tract 71.10,,
"014132136","71.10",Census Tract 71.10,,
"014134111","73.03",Census Tract 73.03,,
"014134112","73.03",Census Tract 73.03,,
"014134115","73.03",Census Tract 73.03,,
"014139109","73.03",Census Tract 73.03,,
"014139208","73.03",Census Tract 73.03,,
"014143122","124",Census Tract 124,,
"014143123","124",Census Tract 124,,
"014143124","124",Census Tract 124,"124",Census Tract 124
"014210140","49.02",Census Tract 49.02,,
"014213202","44.01",Census Tract 44.01,,
"014222202","49.02",Census Tract 49.02,,
"014223107","49.02",Census Tract 49.02,,
"014404267","46.04",Census Tract 46.04,,
"014718136","64.01",Census Tract 64.01,,
"014718138","64.01",Census Tract 64.01,,
"014801150","41.04",Census Tract 41.04,,
"014801153","41.04",Census Tract 41.04,,
"014801154","41.04",Census Tract 41.04,,
"014801165","41.04",Census Tract 41.04,,
"014801166","41.04",Census Tract 41.04,,
"014801168","41.04",Census Tract 41.04,,
"014801169","41.04",Census Tract 41.04,,
"014812202","41.03",Census Tract 41.03,,
"014812204","41.03",Census Tract 41.03,,
"016014133","67",Census Tract 67,,
"016024112","67",Census Tract 67,,
"016024159","67",Census Tract 67,,
"016024248","67",Census Tract 67,,
"016106134","67",Census Tract 67,,
"016106139","67",Census Tract 67,,
"016208626","125",Census Tract 125,,
"016214128","125",Census Tract 125,,
"016314118","125",Census Tract 125,,
"016320107","125",Census Tract 125,,
"016327307","125",Census Tract 125,,
"016329223","125",Census Tract 125,,
"016331127","125",Census Tract 125,,
"016339111","125",Census Tract 125,,
"016340107","125",Census Tract 125,"40.04",Census Tract 40.04
"016345210","40.04",Census Tract 40.04,,
"016413207","70.01",Census Tract 70.01,,
"016420116","124",Census Tract 124,,
"016421210","71.08",Census Tract 71.08,,
"016431104","71.10",Census Tract 71.10,,
"016431129","71.10",Census Tract 71.10,,
"016431133","71.10",Census Tract 71.10,,
"016431134","71.10",Census Tract 71.10,"71.08",Census Tract 71.08
"016431137","71.10",Census Tract 71.10,,
"016431138","71.10",Census Tract 71.10,,
"016431146","71.10",Census Tract 71.10,,
"016432180","71.10",Census Tract 71.10,,
"016740106","78",Census Tract 78,"78",Census Tract 78
"016740107","78",Census Tract 78,"78",Census Tract 78
"016740108","78",Census Tract 78,,
"016740109","78",Census Tract 78,,
"016745108","78",Census Tract 78,,
"016745109","78",Census Tract 78,,
"016748116","78",Census Tract 78,,
"016750111","78",Census Tract 78,,
"016751109","78",Census Tract 78,,
"016751125","78",Census Tract 78,,
"016751126","78",Census Tract 78,,
"016751129","78",Census Tract 78,,
"016754109","78",Census Tract 78,,
"016755108","78",Census Tract 78,,
"016755109","78",Census Tract 78,,
"016757105","78",Census Tract 78,,
"016764105","78",Census Tract 78,,
"016764106","78",Census Tract 78,,
"016764107","78",Census Tract 78,,
"016767103","78",Census Tract 78,,
"016768107","78",Census Tract 78,,
"016768109","78",Census Tract 78,,
"016902109","80.04",Census Tract 80.04,,
"016902226","80.04",Census Tract 80.04,,
"016932102","81",Census Tract 81,,
"017031101","84.02",Census Tract 84.02,,
"017213124","83.02",Census Tract 83.02,"83.01",Census Tract 83.01
"017325108","82.02",Census Tract 82.02,,
"017325133","82.02",Census Tract 82.02,,
"018184126","94",Census Tract 94,,
"018184135","94",Census Tract 94,,
"018343126","120.02",Census Tract 120.02,,
"018355104","95.01",Census Tract 95.01,,
"018513103","107",Census Tract 107,,
"018619157","107",Census Tract 107,,
"019113141","30",Census Tract 30,,
"019341101","26.09",Census Tract 26.09,,
"019437125","26.08",Census Tract 26.08,,
"019437126","26.08",Census Tract 26.08,,
"019437127","26.08",Census Tract 26.08,,
"020238136","20.15",Census Tract 20.15,,
"020726264","21.05",Census Tract 21.05,,
"020726265","21.05",Census Tract 21.05,,
"020726266","21.05",Census Tract 21.05,,
"020727125","21.05",Census Tract 21.05,,
"020727193","21.05",Census Tract 21.05,,
"020833123","21.07",Census Tract 21.07,,
"020896101","21.12",Census Tract 21.12,,
"020896102","21.12",Census Tract 21.12,,
"020896104","21.12",Census Tract 21.12,,
"020901204","21.05",Census Tract 21.05,,
"020901214","21.05",Census Tract 21.05,,
"020901215","21.05",Census Tract 21.05,,
"020901217","21.05",Census Tract 21.05,,
"020901220","21.05",Census Tract 21.05,,
"020901221","21.05",Census Tract 21.05,,
"020901353","21.05",Census Tract 21.05,,
"020901368","21.05",Census Tract 21.05,,
"020901369","21.05",Census Tract 21.05,,
"020901370","21.05",Census Tract 21.05,,
"020901371","21.05",Census Tract 21.05,,
"020901385","21.05",Census Tract 21.05,,
"020902105","21.05",Census Tract 21.05,,
"020902117","21.05",Census Tract 21.05,,
"020902132","21.05",Census Tract 21.05,,
"020902216","21.05",Census Tract 21.05,,
"020902220","21.05",Census Tract 21.05,,
"020903211","21.05",Census Tract 21.05,,
"020903221","21.05",Census Tract 21.05,,
"020903226","21.05",Census Tract 21.05,,
"020903229","21.05",Census Tract 21.05,,
"020903266","21.05",Census Tract 21.05,,
"020913101","21.11",Census Tract 21.11,,
"020914303","21.12",Census Tract 21.12,,
"020914305","21.12",Census Tract 21.12,,
"020914306","21.12",Census Tract 21.12,,
"020914311","21.12",Census Tract 21.12,,
"020914313","21.12",Census Tract 21.12,,
"020914319","21.12",Census Tract 21.12,,
"020914323","21.12",Census Tract 21.12,,
"020914326","21.12",Census Tract 21.12,,
"020914333","21.12",Census Tract 21.12,,
"020914502","21.12",Census Tract 21.12,,
"020914504","21.12",Census Tract 21.12,,
"020914507","21.12",Census Tract 21.12,,
"020914508","21.12",Census Tract 21.12,,
"020914519","21.12",Census Tract 21.12,,
"020914520","21.12",Census Tract 21.12,,
"020914522","21.12",Census Tract 21.12,,
"020915138","13.11",Census Tract 13.11,,
"020915140","13.11",Census Tract 13.11,,
"020915149","13.11",Census Tract 13.11,,
"020915150","13.11",Census Tract 13.11,,
"020915151","13.11",Census Tract 13.11,,
"020917118","13.11",Census Tract 13.11,,
"020917163","13.11",Census Tract 13.11,,
"020919309","21.11",Census Tract 21.11,,
"020920118","21.11",Census Tract 21.11,,
"020920119","21.11",Census Tract 21.11,,
"020921141","21.11",Census Tract 21.11,,
"020921146","21.11",Census Tract 21.11,,
"020921149","21.11",Census Tract 21.11,,
"020921150","21.11",Census Tract 21.11,,
"020921170","21.11",Census Tract 21.11,,
"020921171","21.11",Census Tract 21.11,,
"020923115","21.11",Census Tract 21.11,,
"020923410","21.11",Census Tract 21.11,,
"020923411","21.11",Census Tract 21.11,,
"020925110","21.11",Census Tract 21.11,,
"020925111","21.11",Census Tract 21.11,"21.11",Census Tract 21.11
"020925115","21.11",Census Tract 21.11,,
"020926109","21.11",Census Tract 21.11,,
"020926128","21.11",Census Tract 21.11,,
"020926132","21.11",Census Tract 21.11,,
"020926213","21.11",Census Tract 21.11,,
"020926215","21.11",Census Tract 21.11,,
"020926216","21.11",Census Tract 21.11,,
"020926223","21.11",Census Tract 21.11,,
"020926225","21.11",Census Tract 21.11,,
"020927225","21.12",Census Tract 21.12,,
"020940102","21.12",Census Tract 21.12,,
"020940103","21.12",Census Tract 21.12,,
"020940104","21.12",Census Tract 21.12,,
"020940105","21.12",Census Tract 21.12,,
"020940106","21.12",Census Tract 21.12,,
"020940123","21.12",Census Tract 21.12,,
"020941105","21.12",Census Tract 21.12,,
"020941112","21.12",Census Tract 21.12,,
"020941118","21.12",Census Tract 21.12,,
"020941134","21.12",Census Tract 21.12,,
"020941136","21.12",Census Tract 21.12,,
"020946111","21.12",Census Tract 21.12,,
"020946113","21.12",Census Tract 21.12,,
"020947105","21.12",Census Tract 21.12,,
"020947106","21.12",Census Tract 21.12,,
"020947110","21.12",Census Tract 21.12,,
"020947111","21.12",Census Tract 21.12,"21.12",Census Tract 21.12
"020947112","21.12",Census Tract 21.12,,
"020948101","21.12",Census Tract 21.12,,
"020949105","21.12",Census Tract 21.12,,
"020949120","21.12",Census Tract 21.12,,
"020949121","21.12",Census Tract 21.12,,
"020949124","21.12",Census Tract 21.12,,
"020949150","21.12",Census Tract 21.12,,
"020949179","21.12",Census Tract 21.12,,
"020949186","21.12",Census Tract 21.12,,
"021003201","21.11",Census Tract 21.11,,
"021003212","21.11",Census Tract 21.11,,
"021007132","21.11",Census Tract 21.11,,
"021007138","21.11",Census Tract 21.11,,
"021007150","21.11",Census Tract 21.11,,
"021007161","21.11",Census Tract 21.11,,
"021007245","21.11",Census Tract 21.11,,
"021007246","21.11",Census Tract 21.11,,
"021008125","21.12",Census Tract 21.12,,
"021008146","21.12",Census Tract 21.12,,
"021008147","21.12",Census Tract 21.12,,
"021008148","21.12",Census Tract 21.12,,
"021008294","21.12",Census Tract 21.12,,
"021019120","21.09",Census Tract 21.09,,
"021019253","127",Census Tract 127,,
"021020513","21.09",Census Tract 21.09,,
"021021150","21.09",Census Tract 21.09,,
"021021228","127",Census Tract 127,,
"021021246","127",Census Tract 127,,
"021021263","127",Census Tract 127,,
"021021267","127",Census Tract 127,,
"021031103","13.12",Census Tract 13.12,,
"021031104","13.12",Census Tract 13.12,,
"021037102","21.11",Census Tract 21.11,,
"021037109","21.11",Census Tract 21.11,,
"021055103","127",Census Tract 127,,
"021121117","16",Census Tract 16,,
"021121123","16",Census Tract 16,,
"021121124","16",Census Tract 16,,
"021121315","16",Census Tract 16,,
"021122203","127",Census Tract 127,,
"021122204","127",Census Tract 127,,
"021122205","127",Census Tract 127,,
"021122206","127",Census Tract 127,,
"021122234","127",Census Tract 127,,
"021122239","127",Census Tract 127,,
"021122240","127",Census Tract 127,,
"021122241","127",Census Tract 127,,
"021122242","127",Census Tract 127,,
"021122243","127",Census Tract 127,,
"021122244","127",Census Tract 127,,
"021122245","127",Census Tract 127,,
"021122246","127",Census Tract 127,,
"021122262","127",Census Tract 127,,
"021122264","127",Census Tract 127,,
"021122265","127",Census Tract 127,,
"021122270","127",Census Tract 127,,
"021122273","127",Census Tract 127,,
"021123221","127",Census Tract 127,,
"021123222","127",Census Tract 127,,
"021123223","127",Census Tract 127,,
"021123224","127",Census Tract 127,,
"021123225","127",Census Tract 127,,
"021123227","127",Census Tract 127,,
"021123228","127",Census Tract 127,,
"021123229","127",Census Tract 127,,
"021123237","127",Census Tract 127,,
"021123242","127",Census Tract 127,,
"021123247","127",Census Tract 127,,
"021123248","127",Census Tract 127,,
"021123249","127",Census Tract 127,,
"021123250","127",Census Tract 127,,
"021123251","127",Census Tract 127,,
"021123252","127",Census Tract 127,,
"021123260","127",Census Tract 127,,
"021123261","127",Census Tract 127,,
"021123262","127",Census Tract 127,,
"021124224","18.03",Census Tract 18.03,,
"021124238","18.03",Census Tract 18.03,,
"021124239","18.03",Census Tract 18.03,,
"021124240","18.03",Census Tract 18.03,,
"021124244","18.03",Census Tract 18.03,,
"021124245","18.03",Census Tract 18.03,,
"021124246","18.03",Census Tract 18.03,,
"021124249","18.03",Census Tract 18.03,,
"021124251","18.03",Census Tract 18.03,,
"021124258","18.03",Census Tract 18.03,,
"021124260","18.03",Census Tract 18.03,,
"021124261","18.03",Census Tract 18.03,,
"021124262","18.03",Census Tract 18.03,,
"021124263","18.03",Census Tract 18.03,,
"021126110","127",Census Tract 127,,
"021126111","127",Census Tract 127,,
"021126113","127",Census Tract 127,,
"021126115","127",Census Tract 127,,
"021126116","127",Census Tract 127,,
"021126119","127",Census Tract 127,,
"021126120","127",Census Tract 127,,
"021126206","127",Census Tract 127,,
"021126207","127",Census Tract 127,,
"021126208","127",Census Tract 127,,
"021126319","127",Census Tract 127,,
"021126324","127",Census Tract 127,,
"021126343","127",Census Tract 127,,
"021126345","127",Census Tract 127,,
"021127214","127",Census Tract 127,,
"021127501","127",Census Tract 127,,
"021127502","127",Census Tract 127,,
"021127503","127",Census Tract 127,,
"021127505","127",Census Tract 127,,
"021127506","127",Census Tract 127,,
"021127507","127",Census Tract 127,,
"021127508","127",Census Tract 127,,
"021127509","127",Census Tract 127,,
"021127510","127",Census Tract 127,,
"021127511","127",Census Tract 127,,
"021127512","127",Census Tract 127,,
"021127513","127",Census Tract 127,,
"021127514","127",Census Tract 127,,
"021127515","127",Census Tract 127,,
"021127516","127",Census Tract 127,,
"021127517","127",Census Tract 127,,
"021127518","127",Census Tract 127,,
"021127519","127",Census Tract 127,,
"021127520","127",Census Tract 127,,
"021127523","127",Census Tract 127,,
"021127525","127",Census Tract 127,,
"021127526","127",Census Tract 127,,
"021127527","127",Census Tract 127,,
"021127532","127",Census Tract 127,,
"021127533","127",Census Tract 127,,
"021127534","127",Census Tract 127,,
"021127535","127",Census Tract 127,,
"021127536","127",Census Tract 127,,
"021127537","127",Census Tract 127,,
"021127538","127",Census Tract 127,,
"021127539","127",Census Tract 127,,
"021127540","127",Census Tract 127,,
"021127541","127",Census Tract 127,,
"021127542","127",Census Tract 127,,
"021127543","127",Census Tract 127,,
"021127545","127",Census Tract 127,,
"021127548","127",Census Tract 127,,
"021127551","127",Census Tract 127,,
"021127552","127",Census Tract 127,,
"021127553","127",Census Tract 127,,
"021127554","127",Census Tract 127,,
"021128105","127",Census Tract 127,,
"021128130","127",Census Tract 127,,
"021128131","127",Census Tract 127,,
"021128132","127",Census Tract 127,,
"021128134","127",Census Tract 127,,
"021128140","127",Census Tract 127,,
"021128141","127",Census Tract 127,,
"021128143","127",Census Tract 127,,
"021128144","127",Census Tract 127,,
"021128145","127",Census Tract 127,,
"021128156","127",Census Tract 127,,
"021128157","127",Census Tract 127,,
"021128158","127",Census Tract 127,,
"021128159","127",Census Tract 127,,
"021128160","127",Census Tract 127,,
"021128161","127",Census Tract 127,,
"021130111","127",Census Tract 127,,
"021130112","127",Census Tract 127,,
"021130113","127",Census Tract 127,,
"021130118","127",Census Tract 127,,
"021131205","127",Census Tract 127,,
"021132118","127",Census Tract 127,,
"021132127","127",Census Tract 127,,
"021631204","19.10",Census Tract 19.10,,
"021631205","19.10",Census Tract 19.10,,
"021813139","19.10",Census Tract 19.10,,
"021817118","19.06",Census Tract 19.06,,
"022802132","23.11",Census Tract 23.11,,
"022901240","21.12",Census Tract 21.12,,
"022901241","21.12",Census Tract 21.12,,
"022901242","21.12",Census Tract 21.12,,
"022901243","21.12",Census Tract 21.12,,
"022901244","21.12",Census Tract 21.12,,
"022901255","21.12",Census Tract 21.12,,
"022901275","21.12",Census Tract 21.12,,
"022901276","21.12",Census Tract 21.12,,
"022901277","21.12",Census Tract 21.12,,
"022901278","21.12",Census Tract 21.12,,
"022901279","21.12",Census Tract 21.12,,
"022901280","21.12",Census Tract 21.12,,
"022902160","22.07",Census Tract 22.07,,
"022902165","22.07",Census Tract 22.07,,
"022908211","22.04",Census Tract 22.04,,
"022911112","21.12",Census Tract 21.12,,
"022911124","21.12",Census Tract 21.12,,
"022911125","21.12",Census Tract 21.12,,
"022911126","21.12",Census Tract 21.12,,
"022911128","21.12",Census Tract 21.12,,
"022911130","21.12",Census Tract 21.12,,
"022911147","21.12",Census Tract 21.12,,
"022911150","21.12",Census Tract 21.12,,
"022911153","21.12",Census Tract 21.12,,
"022911155","21.12",Census Tract 21.12,,
"022911162","21.12",Census Tract 21.12,,
"022911163","21.12",Census Tract 21.12,,
"022911164","21.12",Census Tract 21.12,,
"022911165","21.12",Census Tract 21.12,,
"022911166","21.12",Census Tract 21.12,,
"022911167","21.12",Census Tract 21.12,,
"022911169","21.12",Census Tract 21.12,,
"022911170","21.12",Census Tract 21.12,,
"022911176","21.12",Census Tract 21.12,,
"022911177","21.12",Census Tract 21.12,,
"022911178","21.12",Census Tract 21.12,,
"022911179","21.12",Census Tract 21.12,,
"022912137","22.07",Census Tract 22.07,,
"022912138","22.07",Census Tract 22.07,,
"022912145","22.07",Census Tract 22.07,,
"022912146","22.07",Census Tract 22.07,,
"022912147","22.07",Census Tract 22.07,,
"022912150","22.07",Census Tract 22.07,,
"022912151","22.07",Census Tract 22.07,,
"022912157","22.07",Census Tract 22.07,,
"022913115","22.07",Census Tract 22.07,,
"022913116","22.07",Census Tract 22.07,,
"022913126","22.07",Census Tract 22.07,,
"022913130","22.07",Census Tract 22.07,,
"022913131","22.07",Census Tract 22.07,,
"022915101","22.07",Census Tract 22.07,,
"022915128","22.07",Census Tract 22.07,,
"022916206","22.07",Census Tract 22.07,,
"022917123","22.07",Census Tract 22.07,,
"022917127","22.07",Census Tract 22.07,"22.07",Census Tract 22.07
"022917128","22.07",Census Tract 22.07,,
"022918110","22.07",Census Tract 22.07,,
"022919201","22.07",Census Tract 22.07,"22.04",Census Tract 22.04
"022922320","22.04",Census Tract 22.04,,
"022923125","22.04",Census Tract 22.04,,
"022924213","22.04",Census Tract 22.04,,
"022925136","21.12",Census Tract 21.12,,
"022925138","21.12",Census Tract 21.12,,
"022926209","21.12",Census Tract 21.12,,
"022926212","21.12",Census Tract 21.12,,
"022926213","21.12",Census Tract 21.12,,
"022926214","21.12",Census Tract 21.12,,
"022926217","21.12",Census Tract 21.12,,
"022926218","21.12",Census Tract 21.12,,
"022926219","21.12",Census Tract 21.12,,
"022926220","21.12",Census Tract 21.12,,
"022926221","21.12",Census Tract 21.12,,
"022926222","21.12",Census Tract 21.12,,
"022926223","21.12",Census Tract 21.12,,
"022926224","21.12",Census Tract 21.12,,
"022926225","21.12",Census Tract 21.12,,
"022926226","21.12",Census Tract 21.12,,
"022926227","21.12",Census Tract 21.12,,
"022926229","21.12",Census Tract 21.12,,
"022926234","21.12",Census Tract 21.12,,
"022926235","21.12",Census Tract 21.12,,
"022926236","21.12",Census Tract 21.12,,
"022926237","21.12",Census Tract 21.12,,
"022926240","21.12",Census Tract 21.12,,
"022926248","21.12",Census Tract 21.12,,
"022926304","21.12",Census Tract 21.12,,
"022926307","21.12",Census Tract 21.12,,
"022926309","21.12",Census Tract 21.12,,
"022926330","21.12",Census Tract 21.12,,
"022926336","21.12",Census Tract 21.12,,
"022926345","21.12",Census Tract 21.12,,
"022926347","21.12",Census Tract 21.12,,
"022926362","21.12",Census Tract 21.12,,
"022926363","21.12",Census Tract 21.12,,
"022926368","21.12",Census Tract 21.12,,
"022926371","21.12",Census Tract 21.12,,
"022926372","21.12",Census Tract 21.12,,
"022926375","21.12",Census Tract 21.12,,
